#1,,,,,,,,,,,,
#Western States Championships, Bullhead City AZ, Mar 19 and 20,2016
#Locked
#Game,Date,Day,Field,Time,Division,Home Section,Visiting Section,Referees Section,CR,AR1,AR2,4th
44,19-Mar, Saturday, Field 3, 3:00 PM, BU14Extra CHAMPIONSHIP, Winner Field 3 @ 11, Winner Field 4 @ 11,,,,,
45,19-Mar, Saturday, Field 4, 9:00 AM, BU13Extra, 1/F/16 North Torrance, 11WC/Q/57 Corona del Mar,Section 10,,,,
46,19-Mar, Saturday, Field 4, 11:00 AM, BU14Extra, 1WC/F/15 Central Torrance, 11/Q/120 Costa Mesa,Section 10,,,,
47,19-Mar, Saturday, Field 4, 1:00 PM, BU13Extra CONSOLATION, Loser Field 3 @ 9, Loser Field 4 @ 9,,,,,
48,19-Mar, Saturday, Field 4, 3:00 PM, BU14Extra CONSOLATION, Loser Field 3 @ 11, Loser Field 4 @ 11,,,,,
49,20-Mar, Sunday, Field 1, 9:00 AM, GU14, 11/E/94 La Habra, 2/N/110 Hillsborough,Section One,,,,
50,20-Mar, Sunday, Field 1, 11:00 AM, BU14, 1/C/2 Arcadia, 11/R/785 North Park,Section 10,,,,
51,20-Mar, Sunday, Field 1, 1:00 PM, GU14 CHAMPIONSHIP, Winner Field 1 @ 9, Winner Field 2 @ 9,,,,,
52,20-Mar, Sunday, Field 1, 3:00 PM, BU14 CHAMPIONSHIP, Winner Field 1 @ 11, Winner Field 2 @ 11,,,,,
53,20-Mar, Sunday, Field 2, 9:00 AM, GU14, 1/D/18 Manhattan/Hermosa Beach, 10/O/1429 Cutler/Orosi,Section 11,,,,
54,20-Mar, Sunday, Field 2, 11:00 AM, BU14, 11/Z/652 South Gate, 10/D/665 Victorville,Section One,,,,
55,20-Mar, Sunday, Field 2, 1:00 PM, GU14 CONSOLATION, Loser Field 1 @ 9, Loser Field 2 @ 9,,,,,
56,20-Mar, Sunday, Field 2, 3:00 PM, BU14 CONSOLATION, Loser Field 1 @ 11, Loser Field 2 @ 11,,,,,
57,20-Mar, Sunday, Field 5, 9:00 AM, GU12, 11/K/56 South Huntington Beach, 10/D/638 Quartz Hill,Section One,,,,
58,20-Mar, Sunday, Field 5, 11:00 AM, BU12, 2/N/1 Redwood City, 1/D/18 Manhattan/Hermosa Beach,Section 11,,,,
59,20-Mar, Sunday, Field 5, 1:00 PM, GU12 CHAMPIONSHIP, Winner Field 5 @ 9, Winner Field 6 @ 9,,,,,
